frame_id,object_id,class,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,velocity_x,velocity_y
1,1,Car,529,298,565,325,0.830,0.00,0.00
1,2,Car,664,292,685,308,0.705,0.00,0.00
1,3,Car,504,291,519,303,0.588,0.00,0.00
1,4,Car,229,307,262,322,0.567,0.00,0.00
1,5,Car,783,308,816,320,0.544,0.00,0.00
1,6,Car,120,307,160,328,0.521,0.00,0.00
2,1,Car,529,299,565,326,0.800,0.00,0.00
2,2,Car,663,293,686,309,0.673,0.00,0.00
2,3,Car,504,291,520,303,0.586,0.00,0.00
2,4,Car,220,307,256,323,0.556,0.00,0.00
2,5,Car,787,308,816,321,0.511,0.00,0.00
2,6,Car,109,307,150,329,0.747,0.00,0.00
3,1,Car,529,299,565,326,0.790,0.00,0.00
3,2,Car,664,293,686,309,0.644,0.00,0.00
3,3,Car,504,291,520,303,0.584,0.00,0.00
3,4,Car,211,307,251,324,0.520,0.00,0.00
3,5,Car,791,308,817,320,0.310,0.00,0.00
3,6,Car,96,307,139,329,0.716,0.00,0.00
4,1,Car,529,299,565,326,0.800,0.00,0.00
4,2,Car,664,293,686,309,0.643,0.00,0.00
4,3,Car,504,292,519,303,0.563,0.00,0.00
4,4,Car,199,309,242,326,0.458,0.00,0.00
4,5,Car,781,308,817,320,0.433,0.00,0.00
4,6,Car,82,309,125,331,0.704,0.00,0.00
5,1,Car,529,299,565,326,0.802,0.00,0.00
5,2,Car,664,292,687,309,0.694,0.00,0.00
5,3,Car,504,292,519,303,0.556,0.00,0.00
5,4,Car,186,311,230,327,0.307,0.00,0.00
5,5,Car,781,308,818,320,0.475,0.00,0.00
5,6,Car,66,309,112,332,0.601,0.00,0.00
5,8,Car,366,293,384,306,0.366,0.00,0.00
6,1,Car,529,299,565,326,0.797,0.00,0.00
6,2,Car,664,292,687,309,0.681,0.00,0.00
6,3,Car,504,292,519,303,0.581,0.00,0.00
6,6,Car,49,310,97,334,0.490,0.00,0.00
6,8,Car,363,293,382,306,0.401,0.00,0.00
7,1,Car,529,298,565,325,0.794,0.00,0.00
7,2,Car,665,292,687,309,0.672,0.00,0.00
7,3,Car,504,291,519,303,0.547,0.00,0.00
7,6,Car,30,310,82,336,0.321,0.00,0.00
7,8,Car,361,293,380,306,0.429,0.00,0.00
7,5,Car,783,307,821,323,0.471,0.00,0.00
8,1,Car,529,297,565,324,0.820,0.00,0.00
8,2,Car,665,291,687,308,0.615,0.00,0.00
8,3,Car,504,290,519,302,0.504,0.00,0.00
8,6,Car,10,310,64,336,0.708,0.00,0.00
8,8,Car,359,293,378,304,0.471,0.00,0.00
8,5,Car,784,306,822,326,0.435,0.00,0.00
8,4,Car,141,310,193,329,0.536,0.00,0.00
9,1,Car,529,297,564,323,0.802,0.00,0.00
9,2,Car,665,290,687,307,0.654,0.00,0.00
9,3,Car,503,289,519,301,0.462,0.00,0.00
9,6,Car,0,310,46,336,0.491,0.00,0.00
9,8,Car,356,293,375,304,0.513,0.00,0.00
9,5,Car,784,306,822,328,0.655,0.00,0.00
9,4,Car,123,310,176,329,0.534,0.00,0.00
10,1,Car,529,296,564,323,0.825,-1.39,-6.08
10,2,Car,665,290,687,307,0.674,5.22,-5.36
10,3,Car,503,289,519,301,0.487,-1.39,-5.37
10,6,Car,0,310,25,337,0.547,-354.03,17.21
10,8,Car,353,293,373,305,0.585,0.00,0.00
10,5,Car,785,306,821,330,0.620,0.00,0.00
10,4,Car,104,310,161,330,0.703,0.00,0.00
11,1,Car,528,296,564,322,0.836,-2.29,-8.60
11,2,Car,665,290,687,306,0.639,5.06,-7.53
11,3,Car,503,289,518,301,0.495,-2.39,-7.12
11,8,Car,351,293,370,305,0.547,0.00,0.00
11,5,Car,785,305,823,329,0.627,12.13,7.77
11,4,Car,82,310,143,331,0.540,0.00,0.00
12,1,Car,528,296,564,322,0.846,-3.20,-9.45
12,2,Car,666,290,687,306,0.683,4.87,-8.46
12,3,Car,503,288,518,301,0.442,-3.64,-7.88
12,8,Car,348,292,368,305,0.478,0.00,0.00
12,5,Car,786,305,823,328,0.532,7.18,5.05
12,4,Car,59,310,125,332,0.662,-350.15,15.56
13,1,Car,528,296,563,322,0.848,-4.14,-10.42
13,2,Car,666,290,687,306,0.700,4.54,-8.86
13,3,Car,503,288,518,300,0.319,-4.21,-9.48
13,8,Car,344,293,365,305,0.546,0.00,0.00
13,5,Car,786,304,825,328,0.552,3.16,3.80
13,4,Car,30,311,104,335,0.551,-388.27,18.35
14,1,Car,528,296,563,322,0.848,-3.86,-8.72
14,2,Car,666,290,688,307,0.622,4.01,-6.82
14,3,Car,503,289,517,301,0.400,-4.46,-8.30
14,8,Car,342,293,363,306,0.568,-63.25,0.50
14,5,Car,786,304,825,328,0.443,16.07,5.53
14,4,Car,5,312,79,337,0.668,-428.61,19.22
15,1,Car,528,296,563,322,0.850,-4.57,-9.03
15,2,Car,666,290,688,306,0.654,4.40,-7.49
15,3,Car,502,288,517,301,0.376,-5.16,-8.53
15,8,Car,338,294,360,307,0.456,-65.61,1.23
15,5,Car,787,304,826,328,0.765,18.64,3.93
15,4,Car,0,313,51,338,0.583,-442.61,17.82
16,1,Car,528,296,563,322,0.840,-4.31,-8.64
16,2,Car,666,289,689,306,0.599,3.89,-6.82
16,3,Car,502,288,517,300,0.362,-5.60,-7.76
16,8,Car,335,294,357,307,0.478,-69.10,2.33
16,5,Car,788,303,827,327,0.709,15.22,1.25
17,1,Car,528,296,563,321,0.841,-4.20,-5.83
17,2,Car,664,289,689,306,0.584,0.57,-3.95
17,3,Car,502,288,517,300,0.307,-5.50,-3.83
17,8,Car,331,295,353,307,0.465,-72.06,5.03
17,5,Car,789,303,828,327,0.677,16.05,-3.68
18,1,Car,527,296,563,321,0.841,-4.06,-3.70
18,2,Car,663,289,689,307,0.598,-0.20,-2.09
18,3,Car,501,288,517,301,0.336,-5.83,-1.86
18,8,Car,328,295,350,307,0.560,-73.73,7.08
18,5,Car,797,303,829,326,0.577,28.96,-6.08
19,1,Car,527,295,563,320,0.836,-3.59,-4.76
19,2,Car,664,289,689,306,0.649,0.27,-3.23
19,8,Car,324,294,347,307,0.508,-76.83,5.69
19,5,Car,793,303,829,326,0.627,22.43,-9.11
20,1,Car,527,295,563,320,0.845,-3.77,-5.25
20,2,Car,665,289,688,305,0.668,0.67,-3.42
20,8,Car,320,294,344,307,0.538,-79.34,4.51
20,5,Car,791,302,830,325,0.710,17.82,-9.68
21,1,Car,527,294,562,319,0.833,-3.55,-6.85
21,2,Car,666,288,688,305,0.579,1.23,-4.48
21,8,Car,316,292,339,306,0.536,-85.28,0.67
21,5,Car,789,300,831,325,0.756,14.81,-10.94
21,3,Car,501,285,516,298,0.379,-5.48,-7.40
22,1,Car,527,293,562,319,0.837,-2.81,-7.55
22,2,Car,666,288,689,305,0.628,1.57,-4.40
22,8,Car,311,291,335,305,0.568,-87.37,-2.09
22,5,Car,789,300,832,324,0.822,14.33,-10.76
22,20,Car,207,296,234,316,0.683,0.00,0.00
22,3,Car,501,285,516,297,0.392,-5.40,-8.46
23,1,Car,527,293,562,319,0.836,-2.67,-7.86
23,2,Car,667,288,689,305,0.579,3.34,-3.76
23,8,Car,307,291,332,306,0.678,-90.80,-3.74
23,5,Car,792,300,832,325,0.813,18.52,-9.14
23,20,Car,196,296,227,317,0.614,0.00,0.00
23,3,Car,501,285,516,297,0.394,-4.64,-7.60
24,1,Car,527,293,562,319,0.837,-1.50,-7.42
24,2,Car,667,288,689,306,0.626,2.94,-2.47
24,8,Car,302,290,328,307,0.700,-93.92,-4.30
24,5,Car,796,300,833,326,0.786,22.15,-7.50
24,20,Car,182,296,217,318,0.760,0.00,0.00
24,3,Car,501,285,516,298,0.429,-4.08,-6.58
25,1,Car,527,294,562,319,0.840,-2.50,-5.40
25,2,Car,667,289,690,306,0.629,2.67,-0.74
25,8,Car,297,291,324,308,0.751,-97.82,-1.44
25,5,Car,801,300,834,326,0.601,27.77,-5.82
25,20,Car,168,297,207,319,0.821,0.00,0.00
25,3,Car,500,286,516,298,0.376,-4.31,-5.27
25,24,Car,119,292,169,320,0.524,0.00,0.00
26,1,Car,527,295,562,320,0.856,-1.82,-1.94
26,2,Car,667,290,691,307,0.555,8.23,2.15
26,8,Car,292,292,320,310,0.723,-100.79,0.85
26,5,Car,806,302,835,327,0.688,32.90,-1.80
26,20,Car,155,298,198,321,0.810,0.00,0.00
26,24,Car,96,293,152,323,0.626,0.00,0.00
27,1,Car,527,294,562,319,0.839,-1.16,-5.74
27,2,Car,667,289,691,306,0.670,7.15,-2.11
27,8,Car,286,292,316,310,0.672,-106.09,-0.23
27,5,Car,799,299,836,325,0.706,13.00,-7.41
27,20,Car,141,298,187,322,0.829,0.00,0.00
27,24,Car,71,292,132,324,0.532,0.00,0.00
28,1,Car,528,293,562,318,0.836,0.08,-6.30
28,2,Car,665,288,691,304,0.626,5.02,-3.36
28,8,Car,280,291,311,310,0.678,-109.96,-1.15
28,5,Car,797,298,837,324,0.713,16.42,-9.45
28,20,Car,128,298,175,322,0.822,0.00,0.00
28,24,Car,38,292,110,325,0.553,0.00,0.00
28,3,Car,501,285,516,297,0.361,-2.63,-5.96
29,1,Car,528,292,563,317,0.835,1.86,-8.40
29,2,Car,665,286,692,304,0.576,5.24,-5.68
29,8,Car,275,289,307,310,0.602,-114.45,-3.16
29,5,Car,796,297,838,322,0.624,17.91,-11.27
29,20,Car,113,297,163,323,0.816,0.00,0.00
29,24,Car,11,291,86,327,0.628,0.00,0.00
29,3,Car,500,285,516,297,0.353,-2.66,-7.26
30,1,Car,529,291,563,316,0.840,2.71,-7.10
30,2,Car,667,286,692,303,0.558,6.31,-4.39
30,8,Car,268,288,300,310,0.510,-120.03,-0.11
30,5,Car,796,296,836,321,0.796,17.10,-11.11
30,20,Car,97,297,149,324,0.815,0.00,0.00
30,24,Car,0,290,59,328,0.534,0.00,0.00
30,3,Car,501,284,516,297,0.386,-1.90,-7.64
31,1,Car,529,291,563,316,0.843,3.00,-6.76
31,2,Car,668,286,692,303,0.623,7.52,-4.40
31,8,Car,261,287,294,310,0.618,-125.60,1.32
31,5,Car,797,295,839,321,0.826,20.90,-10.99
31,20,Car,79,298,134,325,0.850,-315.95,14.25
31,3,Car,501,284,516,296,0.431,-1.16,-8.20
32,1,Car,529,291,563,316,0.844,2.83,-7.37
32,2,Car,668,286,692,303,0.656,5.69,-6.29
32,8,Car,254,291,286,311,0.447,-137.47,7.14
32,5,Car,799,295,842,321,0.815,22.47,-14.07
32,20,Car,60,298,118,327,0.848,-339.28,16.78
32,3,Car,501,284,516,297,0.420,-0.32,-2.95
32,28,Car,358,286,374,295,0.544,0.00,0.00
33,1,Car,529,290,563,315,0.841,2.15,-9.29
33,2,Car,668,286,693,303,0.666,6.63,-7.96
33,8,Car,246,294,277,311,0.585,-148.35,11.39
33,5,Car,800,294,844,321,0.782,19.18,-14.78
33,20,Car,38,297,101,328,0.845,-361.47,15.97
33,3,Car,501,284,516,296,0.424,0.10,-2.82
33,28,Car,356,285,372,295,0.502,0.00,0.00
34,1,Car,528,290,562,315,0.842,1.89,-11.14
34,2,Car,669,286,693,303,0.668,6.90,-9.48
34,8,Car,237,294,269,312,0.573,-160.06,10.55
34,5,Car,801,294,845,320,0.781,14.24,-16.55
34,20,Car,15,298,82,330,0.857,-387.92,15.03
34,3,Car,500,283,516,296,0.476,-1.35,-3.17
34,28,Car,354,286,371,296,0.474,0.00,0.00
35,1,Car,528,290,562,315,0.838,1.32,-14.36
35,2,Car,669,286,693,303,0.671,5.21,-11.95
35,8,Car,227,295,261,313,0.675,-171.29,8.64
